,name, address, start_time, end_time, start_time_saturday, end_time_saturday, start_time_holiday, end_time_holiday, fee, longitude, latitude
153,京都祇園郵便局,京都府京都市東山区大和大路通四条上ﾙ常盤町153,9:00,17:30,9:00,12:30,-,-,0,135.78128,35.00919
154,京都三条大橋郵便局,京都府京都市東山区三条通大橋東入大橋町94,9:00,19:00,9:00,17:00,9:00,17:00,0,135.77699,35.00953
155,京都三条広道郵便局,京都府京都市東山区三条通白川橋東入4−中之町210−5,9:00,17:30,9:00,12:30,-,-,0,135.78128,35.00919
156,京都下馬町郵便局,京都府京都市東山区渋谷通東大路東入2丁目下馬町491,9:00,19:00,9:00,17:00,9:00,17:00,0,135.77577,34.9926
157,京都赤十字病院内郵便局,京都府京都市東山区本町15-814-4,9:00,18:00,9:00,17:00,-,-,0,135.77283,34.9803
158,京都大仏前郵便局,京都府京都市東山区本町4−136(ﾉｰｻｲﾄﾋﾞﾙ1階),9:00,17:30,9:00,12:30,-,-,0,135.76994,34.99228
159,京都知恩院前郵便局,京都府京都市東山区東大路三条下る北木之元町525−2,9:00,17:30,9:00,12:30,-,-,0,135.7785,35.00589
160,京都月見町郵便局,京都府京都市東山区東大路松原上る5丁目月見町5,9:00,17:30,9:00,12:30,-,-,0,135.7785,35.00589
161,京都鳥羽道郵便局,京都府京都市東山区本町20−454−1,9:00,17:30,9:00,12:30,-,-,0,135.77061,34.97259
162,京都本町郵便局,京都府京都市東山区本町10−189,9:00,17:30,9:00,12:30,-,-,0,135.77052,34.98303
163,京都大和大路郵便局,京都府京都市東山区大和大路通松原下る北御門町251,9:00,17:30,9:00,12:30,-,-,0,135.78128,35.00919
164,東山郵便局,京都府京都市東山区大和大路通五条下る石垣町西側42,9:00,16:00,-,-,-,-,0,135.78128,35.00919
165,京都駅八条口郵便局,京都府京都市南区東九条上殿田町40,9:00,19:00,9:00,17:00,-,-,0,135.7585,34.9828
166,京都上鳥羽郵便局,京都府京都市南区上鳥羽南島田町30,9:00,17:30,9:00,12:30,-,-,0,135.74294,34.96497
167,京都唐橋郵便局,京都府京都市南区唐橋川久保町1−19,9:00,17:30,9:00,12:30,-,-,0,135.73586,34.9777
168,京都吉祥院観音堂郵便局,京都府京都市南区吉祥院観音堂南町1−18,9:00,17:30,9:00,12:30,-,-,0,135.73145,34.96548
169,京都吉祥院郵便局,京都府京都市南区吉祥院船戸町13−2,9:00,19:00,9:00,17:00,9:00,17:00,0,135.73239,34.97527
170,京都久世郵便局,京都府京都市南区久世殿城町447−1,9:00,17:30,9:00,12:30,-,-,0,135.71736,34.95856
171,京都十条郵便局,京都府京都市南区西九条東柳ﾉ内町6,9:00,17:30,9:00,17:00,-,-,0,135.7531,34.97441
172,京都東寺郵便局,京都府京都市南区西九条東比永城町27,9:00,17:30,9:00,12:30,-,-,0,135.74998,34.97775
173,京都西九条郵便局,京都府京都市南区西九条蔵王町52−2,9:00,17:30,9:00,12:30,-,-,0,135.75348,34.98151
174,京都八条郵便局,京都府京都市南区大宮通八条下る九条町621−23,9:00,17:30,9:00,12:30,-,-,0,135.74884,34.98389
175,京都東九条郵便局,京都府京都市南区東九条中御霊町44−1,9:00,17:30,9:00,12:30,-,-,0,135.76225,34.97894
176,京都札ノ辻郵便局,京都府京都市南区東九条河辺町23,9:00,17:30,9:00,12:30,-,-,0,135.75937,34.97469
177,京都羅城門郵便局,京都府京都市南区西九条唐戸町2−2,9:00,17:30,9:00,17:00,-,-,0,135.74269,34.97862
178,ゆうちょ銀行大阪支店京阪出町柳駅内出張所,京都府京都市左京区賀茂大橋東詰 叡電口改札口前,7:00,23:00,8:00,23:00,8:00,20:00,0,135.773228,35.0305
179,ゆうちょ銀行 大阪支店 ファミリーマート京都一乗寺店内出張所,京都府京都市左京区一乗寺花ﾉ木町1番地,0:05,23:55,0:05,23:55,0:05,23:55,0,135.792127,35.043567
180,ゆうちょ銀行 大阪支店 ファミリーマート京都岩倉中町店内出張所,京都府京都市左京区岩倉中町324番地,0:05,23:55,0:05,23:55,0:05,23:55,0,135.788165,35.076988
181,ゆうちょ銀行　大阪支店　ファミリーマート白川通別当町店内出張所,京都府京都市左京区北白川上別当町7−2,0:05,23:55,0:05,23:55,0:05,23:55,0,135.791781,35.032784
182,ゆうちょ銀行　大阪支店　ファミリーマート西小路天神川店内出張所,京都府京都市中京区西ﾉ京小堀池町19番地5,0:05,23:55,0:05,23:55,0:05,23:55,0,135.726268,35.014696
183,ゆうちょ銀行　大阪支店　ファミリーマート堀川御池店内出張所,京都府京都市中京区岩上通御池下る上巴町415番地,0:05,23:55,0:05,23:55,0:05,23:55,0,135.751281,35.006835
184,ゆうちょ銀行　大阪支店　ファミリーマート本能寺店内出張所,京都府京都市中京区下本能寺前町522−19他1筆,0:05,23:55,0:05,23:55,0:05,23:55,0,135.767985,35.010143
185,ゆうちょ銀行　大阪支店　河原町ＯＰＡ内出張所,京都府京都市中京区河原町通り四条上ﾙ 2階ｴﾚﾍﾞｰﾀｰ横,11:00,21:00,11:00,21:00,11:00,21:00,0,135.741845,35.003799
186,ゆうちょ銀行　大阪支店　ＪＲ二条駅内出張所,京都府京都市中京区西ﾉ京栂尾3番地 改札前,7:00,23:00,8:00,22:00,8:00,20:00,0,135.741183,35.008932
187,ゆうちょ銀行　大阪支店　ファミリーマート烏丸押小路店内出張所,京都府京都市中京区秋野々町535 日土地京都ﾋﾞﾙ,0:05,23:55,0:05,23:55,0:05,23:55,0,135.759641,35.012972
188,ゆうちょ銀行　大阪支店　ファミリーマート烏丸丸太町店内出張所,京都府京都市中京区烏丸通竹屋町上ﾙ大倉町203番地,0:05,23:55,0:05,23:55,0:05,23:55,0,135.741845,35.003799
189,ゆうちょ銀行　大阪支店　ファミリーマート河原町竹屋町店内出張所,京都府京都市中京区河原町通竹屋町下る指物町311番地,0:05,23:55,0:05,23:55,0:05,23:55,0,135.741845,35.003799
190,ゆうちょ銀行　大阪支店　ファミリーマート三条大宮店内出張所,京都府京都市中京区三条通大宮西入上瓦町50番3 他1筆(地番),0:05,23:55,0:05,23:55,0:05,23:55,0,135.734853,35.010659
191,ゆうちょ銀行　大阪支店　ファミリーマート三条新町店内出張所,京都府京都市中京区新町通姉小路下る町頭町115番,0:05,23:55,0:05,23:55,0:05,23:55,0,135.741845,35.003799
192,ゆうちょ銀行　大阪支店　ファミリーマート新京極蛸薬師店内出張所,京都府京都市中京区新京極通り蛸薬師下ﾙ東側町508,0:05,23:55,0:05,23:55,0:05,23:55,0,135.767071,35.005806
193,ゆうちょ銀行　大阪支店　ファミリーマート寺町二条店内出張所,京都府京都市中京区寺町通二条下る妙満寺前町444−1,0:05,23:55,0:05,23:55,0:05,23:55,0,135.767106,35.013517
194,ゆうちょ銀行　大阪支店　あおぞら銀行京都支店内出張所,京都府京都市下京区四条通室町東入函谷鉾町79 ﾔｻｶ四条烏丸ﾋﾞﾙ1階,9:00,15:00,-,-,-,-,0,135.758316,35.003939
195,ゆうちょ銀行　大阪支店　近鉄京都駅構内出張所,京都府京都市下京区東塩小路釡殿町31−1 近鉄京都駅構内,7:00,23:00,7:00,23:00,7:00,21:00,0,135.75785,34.984423
196,ゆうちょ銀行　大阪支店　近鉄名店街みやこみち出張所,京都府京都市下京区東塩小路釜殿町31−1 ATMｺｰﾅｰ,7:00,23:00,7:00,23:00,7:00,21:00,0,135.758098,34.985148
197,ゆうちょ銀行　大阪支店　JR京都駅内出張所,京都府京都市下京区烏丸通塩小路下ﾙ塩小路町 2階新幹線中央口付近ATMｺｰﾅｰ,7:00,23:00,8:00,23:00,8:00,21:00,0,135.732166,34.98805
198,ゆうちょ銀行　大阪支店　ファミリーマート梅小路京都西駅前店内出張所,京都府京都市下京区観喜寺町9番3,0:05,23:55,0:05,23:55,0:05,23:55,0,135.744936,34.988746
199,ゆうちょ銀行　大阪支店　ファミリーマートＪＲ太秦駅前店内出張所,京都府京都市右京区太秦上ﾉ段町10,0:05,23:55,0:05,23:55,0:05,23:55,0,135.701861,35.017495
200,ゆうちょ銀行　大阪支店　ファミリーマート西大路三条店内出張所,京都府京都市右京区西院上今田町25番地1,0:05,23:55,0:05,23:55,0:05,23:55,0,135.719274,34.992583
201,ゆうちょ銀行　大阪支店　ファミリーマート西京極駅前店内出張所,京都府京都市右京区西京極 西池田町9−5 西京極駅前ﾋﾞﾙ,0:05,23:55,0:05,23:55,0:05,23:55,0,135.69997,35.007153
202,ゆうちょ銀行　大阪支店　ファミリーマート阪急西院駅前店内出張所,京都府京都市右京区西院 高山寺町12番3,0:05,23:55,0:05,23:55,0:05,23:55,0,135.731518,35.00301
203,ゆうちょ銀行　大阪支店　イオンモール京都五条内出張所,京都府京都市右京区西院追分町25−1 1階ATMｺｰﾅｰ,7:00,23:00,8:00,23:00,8:00,21:00,0,135.727049,34.997142
204,ゆうちょ銀行　大阪支店　デイリーヤマザキＪＲ花園駅前店内出張所,京都府京都市右京区花園寺ﾉ内町5,6:00,23:55,6:00,23:55,6:00,23:55,0,135.717569,35.018759
205,ゆうちょ銀行　大阪支店　ファミリーマート葛野大路高辻店内出張所,京都府京都市右京区西院西田町97番地1,0:05,23:55,0:05,23:55,0:05,23:55,0,135.719287,34.999281
206,ゆうちょ銀行　大阪支店　ファミリーマート京都嵯峨広沢店内出張所,京都府京都市右京区嵯峨広沢御所ﾉ内町30番地,0:05,23:55,0:05,23:55,0:05,23:55,0,135.688683,35.020525
207,ゆうちょ銀行　大阪支店　ファミリーマート四条通梅津店内出張所,京都府京都市右京区梅津北浦町5番1,0:05,23:55,0:05,23:55,0:05,23:55,0,135.699275,35.003566
208,京都勧修寺郵便局,京都府京都市山科区勧修寺西栗栖野町196,9:00,19:00,9:00,17:00,-,-,0,135.807408,34.969853
209,京都北花山郵便局,京都府京都市山科区北花山横田町26,9:00,17:30,9:00,17:00,-,-,0,135.801725,34.987777
210,京都東野郵便局,京都府京都市山科区東野八代20−1,9:00,17:30,9:00,12:30,-,-,0,135.806503,34.975682
211,京都山科大宅郵便局,京都府京都市山科区大宅坂ﾉ辻町25−25,9:00,19:00,9:00,17:00,9:00,17:00,0,135.819051,34.971728
212,京都山科音羽郵便局,京都府京都市山科区音羽千本町18−26,9:00,17:30,9:00,12:30,-,-,0,135.789444,34.984672
213,京都山科川田郵便局,京都府京都市山科区川田御輿塚町27−5,9:00,17:30,9:00,12:30,-,-,0,135.798433,34.979997
