,name,address,start_time,end_time,start_time_saturday,end_time_saturday,start_time_holiday,end_time_holiday,fee,longitude,latitude
68,西京極支店,京都府京都市右京区西京極西池田町13-3,7:00,23:00,7:00,23:00,7:00,23:00,110,135.71936,34.992054
69,西京極コープパリティ,京都府京都市右京区西京極東池田町42番地,8:00,20:00,8:00,20:00,8:00,20:00,110,135.722015,34.991982
70,光華女子学園,京都府京都市右京区西京極葛野町38番地,7:00,21:00,7:00,21:00,7:00,21:00,110,135.718384,34.996956
71,堀場製作所前,京都府京都市南区吉祥院宮の東町 2番地,8:00,20:00,8:00,20:00,-,-,110,135.723663,34.983547
72,洛西支店,京都府京都市西京区大原野東境谷町2-5-2,8:00,21:00,8:00,21:00,8:00,21:00,110,135.6763,34.963066
73,桂坂口,京都府京都市西京区大枝塚原町9番2７,8:00,20:00,8:00,20:00,8:00,20:00,110,135.668457,34.974697
74,デイリーカナートイズミヤ桂坂店,京都府京都市西京区御陵大枝山町5丁目27-5,9:00,21:00,9:00,21:00,9:00,21:00,110,135.666245,34.983322
75,コープらくさい,京都府京都市西京区大枝東長町 1番地,8:45,20:00,8:45,20:00,8:45,20:00,110,135.676712,34.967754
76,洛西境谷センター,京都府京都市西京区大原野西境谷町2丁目14番地1,8:00,20:00,8:00,20:00,8:00,20:00,110,135.668976,34.962212
77,松尾支店,京都府京都市西京区嵐山宮ノ前町46-12,8:00,21:00,8:00,21:00,8:00,21:00,110,135.687683,35.000137
78,フレンドマート梅津店,京都府京都市右京区梅津中村町37番地,9:30,21:45,9:30,21:45,9:30,21:45,110,135.700272,35.001892
79,西桂支店,京都府京都市西京区桂南巽町135,7:00,23:00,7:00,23:00,7:00,23:00,110,135.701111,34.979782
80,樫原,京都府京都市西京区樫原井戸17番地,8:00,20:00,8:00,20:00,8:00,20:00,110,135.694366,34.9697
81,白梅町支店,京都府京都市北区北野下白梅町41番地,8:00,21:00,8:00,21:00,8:00,21:00,110,135.730698,35.026527
82,立命館大学衣笠,京都府京都市北区等持院北町56番地の1,8:45,19:00,8:45,19:00,-,-,110,135.723343,35.033199
83,紫野支店,京都府京都市北区紫野宮西町16-2,8:00,21:00,8:00,21:00,8:00,21:00,110,135.751511,35.038853
84,新大宮商店街,京都府京都市北区紫竹西高縄町 7番地の1,8:00,20:00,8:00,20:00,8:00,20:00,110,135.748352,35.045891
85,北大路大宮,京都府京都市北区紫野雲林院町22番地の7,8:00,21:00,8:00,21:00,8:00,21:00,110,135.748199,35.040318
86,イオンモール北大路,京都府京都市北区小山北上総町49-1,10:00,21:00,10:00,21:00,10:00,21:00,110,135.758087,35.044804
87,佛教大学,京都府京都市北区紫野北花ノ坊町96,9:00,21:00,9:00,21:00,9:00,21:00,110,135.737289,35.043476
88,鞍馬口支店,京都府京都市北区小山下総町53-2,8:00,21:00,8:00,21:00,8:00,21:00,110,135.759155,35.03825
89,烏丸今出川,京都府京都市上京区烏丸通今出川上る西入岡松町271,7:00,23:00,7:00,23:00,7:00,23:00,110,135.758888,35.029551
90,上堀川支店,京都府京都市北区紫竹下本町24,8:00,21:00,8:00,21:00,8:00,21:00,110,135.751175,35.050224
91,京都産業大学,京都府京都市北区上賀茂本山,8:45,19:00,8:45,19:00,-,-,110,135.754211,35.066345
92,大宮御薗橋,京都府京都市北区大宮北椿原町 7番地2,8:00,20:00,8:00,20:00,8:00,20:00,110,135.747787,35.056789
